date,buy_volume,final_volume
15/07/2013,0,0
16/07/2013,5000,4443
17/07/2013,0,4217
18/07/2013,0,3773
19/07/2013,0,3554
20/07/2013,0,3248
21/07/2013,0,3220
22/07/2013,0,2606
23/07/2013,0,1925
24/07/2013,5000,6599
25/07/2013,0,6121
26/07/2013,0,5495
27/07/2013,0,4879
28/07/2013,0,4662
29/07/2013,0,4114
30/07/2013,0,3341
31/07/2013,0,2561
01/08/2013,5000,6716
02/08/2013,0,6111
03/08/2013,0,5468
04/08/2013,0,4446
05/08/2013,0,3562
06/08/2013,3000,5907
07/08/2013,0,5049
08/08/2013,5000,9129
09/08/2013,0,8522
10/08/2013,0,8017
11/08/2013,0,7597
12/08/2013,0,6772
13/08/2013,0,5680
14/08/2013,3000,8081
15/08/2013,0,6743
16/08/2013,5000,10868
17/08/2013,0,10403
18/08/2013,0,10283
19/08/2013,0,9437
20/08/2013,0,8388
21/08/2013,0,7406
22/08/2013,0,6710
23/08/2013,6000,11859
24/08/2013,0,11337
25/08/2013,0,10960
26/08/2013,0,9856
27/08/2013,5000,13834
28/08/2013,0,12906
29/08/2013,0,11778
30/08/2013,0,10758
31/08/2013,0,10152
01/09/2013,0,9571
02/09/2013,0,8595
03/09/2013,5000,12281
04/09/2013,0,11332
05/09/2013,0,10152
06/09/2013,0,8828
07/09/2013,0,7895
08/09/2013,0,7758
09/09/2013,5000,11641
10/09/2013,0,11047
11/09/2013,0,10183
12/09/2013,5000,13883
13/09/2013,0,12909
14/09/2013,0,12090
15/09/2013,0,11689
16/09/2013,0,10787
17/09/2013,0,9723
18/09/2013,5000,13479
19/09/2013,0,12508
20/09/2013,0,11372
21/09/2013,0,10743
22/09/2013,0,10506
23/09/2013,0,9389
24/09/2013,0,8391
25/09/2013,5000,12608
26/09/2013,0,11522
27/09/2013,0,10298
28/09/2013,0,9587
29/09/2013,0,9207
30/09/2013,0,8006
01/10/2013,5000,12002
02/10/2013,0,10804
03/10/2013,0,10071
04/10/2013,0,9183
05/10/2013,5000,13518
06/10/2013,0,13140
07/10/2013,0,11872
08/10/2013,0,10609
09/10/2013,3000,12249
10/10/2013,0,11133
11/10/2013,0,9901
12/10/2013,0,8872
13/10/2013,0,8472
14/10/2013,0,6910
15/10/2013,0,5567
16/10/2013,5000,9344
17/10/2013,5000,13381
18/10/2013,0,11805
19/10/2013,0,11024
20/10/2013,0,10725
21/10/2013,0,9239
22/10/2013,0,8191
23/10/2013,0,6821
24/10/2013,5000,10825
25/10/2013,0,9805
26/10/2013,5000,13897
27/10/2013,0,13631
28/10/2013,0,12405
29/10/2013,0,11440
30/10/2013,0,10324
31/10/2013,0,9202
01/11/2013,0,7874
02/11/2013,0,7131
03/11/2013,0,6945
04/11/2013,0,5826
05/11/2013,4000,8861
06/11/2013,0,7890
07/11/2013,0,6545
08/11/2013,0,5513
09/11/2013,0,4343
10/11/2013,0,4103
11/11/2013,0,2972
12/11/2013,7000,8942
13/11/2013,5000,13189
14/11/2013,0,11946
15/11/2013,0,10920
16/11/2013,0,10160
17/11/2013,0,9821
18/11/2013,0,8590
19/11/2013,0,7667
20/11/2013,0,6686
21/11/2013,0,5198
22/11/2013,5000,9311
23/11/2013,5000,13751
24/11/2013,0,13518
25/11/2013,0,12684
26/11/2013,0,12430
27/11/2013,3000,14534
28/11/2013,0,13643
29/11/2013,0,12561
30/11/2013,0,11997
01/12/2013,0,11685
02/12/2013,0,10415
03/12/2013,0,9570
04/12/2013,0,8755
05/12/2013,0,7830
06/12/2013,5000,12032
07/12/2013,0,10941
08/12/2013,0,10444
09/12/2013,0,9656
10/12/2013,5000,13617
11/12/2013,0,12865
12/12/2013,0,11975
13/12/2013,0,10980
14/12/2013,0,10108
15/12/2013,0,9939
16/12/2013,0,9079
17/12/2013,6000,14269
18/12/2013,0,13205
19/12/2013,0,12162
20/12/2013,0,11316
21/12/2013,0,10500
22/12/2013,0,10361
23/12/2013,0,9179
24/12/2013,0,8636
25/12/2013,0,8471
26/12/2013,0,7443
27/12/2013,5000,11386
28/12/2013,0,10662
29/12/2013,0,10346
30/12/2013,0,9201
31/12/2013,5000,13810
01/01/2014,0,13462
02/01/2014,0,12330
03/01/2014,0,11461
04/01/2014,0,10937
05/01/2014,0,10782
06/01/2014,0,9454
07/01/2014,0,8504
08/01/2014,5000,12279
09/01/2014,0,11276
10/01/2014,0,10397
11/01/2014,5000,14490
12/01/2014,0,14325
13/01/2014,0,13592
14/01/2014,0,12902
15/01/2014,0,12039
16/01/2014,0,11308
17/01/2014,0,10343
18/01/2014,3000,12577
19/01/2014,0,12247
20/01/2014,0,11175
21/01/2014,0,10121
22/01/2014,3000,12359
23/01/2014,0,11408
24/01/2014,3000,13370
25/01/2014,0,12531
26/01/2014,0,12286
27/01/2014,0,11154
28/01/2014,0,10253
29/01/2014,0,9011
30/01/2014,5000,13273
31/01/2014,0,12350
01/02/2014,0,11598
02/02/2014,0,11428
03/02/2014,0,10377
04/02/2014,0,9635
05/02/2014,0,8861
06/02/2014,4000,11968
07/02/2014,0,11036
08/02/2014,3000,13055
09/02/2014,0,12508
10/02/2014,0,11727
11/02/2014,3000,13790
12/02/2014,0,12780
13/02/2014,0,12054
14/02/2014,0,11233
15/02/2014,4000,14559
16/02/2014,0,14167
17/02/2014,0,13471
18/02/2014,0,12752
19/02/2014,0,11725
20/02/2014,3000,13655
21/02/2014,0,12683
22/02/2014,0,11829
23/02/2014,0,11308
24/02/2014,0,10167
25/02/2014,0,9427
26/02/2014,5000,13643
27/02/2014,0,12792
28/02/2014,0,11777
01/03/2014,0,11137
02/03/2014,0,10919
03/03/2014,0,10160
04/03/2014,0,9541
05/03/2014,5000,13546
06/03/2014,0,12556
07/03/2014,0,11657
08/03/2014,0,10710
09/03/2014,0,10480
10/03/2014,0,9735
11/03/2014,3000,11789
12/03/2014,0,10593
13/03/2014,4000,13391
14/03/2014,0,12442
15/03/2014,0,11651
16/03/2014,0,11248
17/03/2014,0,10056
18/03/2014,4000,13176
19/03/2014,0,12206
20/03/2014,0,11393
21/03/2014,0,10495
22/03/2014,0,9912
23/03/2014,0,9688
24/03/2014,5000,13424
25/03/2014,0,12520
26/03/2014,0,11094
27/03/2014,0,10024
28/03/2014,3000,12024
29/03/2014,0,10993
30/03/2014,0,10787
31/03/2014,0,9769
01/04/2014,0,8971
02/04/2014,6000,14280
03/04/2014,0,13546
04/04/2014,0,12208
05/04/2014,0,11493
06/04/2014,0,11331
07/04/2014,0,10434
08/04/2014,0,9588
09/04/2014,3000,11453
10/04/2014,0,10585
11/04/2014,3000,12733
12/04/2014,0,12093
13/04/2014,0,11825
14/04/2014,3000,14123
15/04/2014,0,13226
16/04/2014,0,11784
17/04/2014,0,10985
18/04/2014,0,10554
19/04/2014,0,9918
20/04/2014,0,9367
21/04/2014,0,8676
22/04/2014,5000,12472
23/04/2014,0,10845
24/04/2014,3000,12952
25/04/2014,0,12002
26/04/2014,0,11085
27/04/2014,0,10881
28/04/2014,0,9709
29/04/2014,5000,13264
30/04/2014,0,12330
