date,buy_volume,final_volume
12/06/2013,5000,16933
13/06/2013,5000,18568
14/06/2013,10000,25184
15/06/2013,0,20583
16/06/2013,0,18076
17/06/2013,5000,19724
18/06/2013,5000,21065
19/06/2013,3000,20741
20/06/2013,5000,21941
21/06/2013,0,18565
22/06/2013,5000,19431
23/06/2013,0,17439
24/06/2013,5000,19518
25/06/2013,5000,21439
26/06/2013,5000,23720
27/06/2013,0,20794
28/06/2013,0,17583
29/06/2013,0,13882
30/06/2013,0,11348
01/07/2013,5000,13193
02/07/2013,0,10247
03/07/2013,5000,12273
04/07/2013,5000,14709
05/07/2013,0,11151
06/07/2013,5000,12123
07/07/2013,0,9180
08/07/2013,10000,16102
09/07/2013,0,13545
10/07/2013,0,10730
11/07/2013,5000,13167
12/07/2013,5000,14959
13/07/2013,0,11382
14/07/2013,0,9774
15/07/2013,0,6683
16/07/2013,5000,9279
17/07/2013,5000,11243
18/07/2013,3000,11544
19/07/2013,0,7917
20/07/2013,6000,10314
21/07/2013,0,7622
22/07/2013,0,4767
23/07/2013,5000,6976
24/07/2013,5000,8980
25/07/2013,5000,11078
26/07/2013,3000,10648
27/07/2013,0,7056
28/07/2013,0,4159
29/07/2013,4000,5182
30/07/2013,10000,12196
31/07/2013,0,9148
01/08/2013,0,5932
02/08/2013,7000,9971
03/08/2013,5000,11334
04/08/2013,0,8806
05/08/2013,0,5723
06/08/2013,9000,11862
07/08/2013,0,9085
08/08/2013,5000,10776
09/08/2013,0,7781
10/08/2013,5000,8346
11/08/2013,0,5803
12/08/2013,5000,7032
13/08/2013,10000,14115
14/08/2013,7000,18444
15/08/2013,5000,20277
16/08/2013,10000,26931
17/08/2013,0,23048
18/08/2013,0,20756
19/08/2013,0,17598
20/08/2013,5000,19317
21/08/2013,5000,21294
22/08/2013,0,18344
23/08/2013,5000,20113
24/08/2013,0,16538
25/08/2013,0,13636
26/08/2013,5000,15780
27/08/2013,3000,15853
28/08/2013,7000,20246
29/08/2013,0,17443
30/08/2013,10000,24253
31/08/2013,0,20297
01/09/2013,0,17458
02/09/2013,5000,19158
03/09/2013,0,15929
04/09/2013,10000,23266
05/09/2013,5000,25106
06/09/2013,0,20894
07/09/2013,0,17073
08/09/2013,0,14673
09/09/2013,10000,21593
10/09/2013,0,19495
11/09/2013,5000,21473
12/09/2013,5000,23269
13/09/2013,5000,25177
14/09/2013,0,21558
15/09/2013,0,18895
16/09/2013,5000,20831
17/09/2013,6000,24125
18/09/2013,0,21338
19/09/2013,0,19268
20/09/2013,0,15598
21/09/2013,5000,16368
22/09/2013,0,14019
23/09/2013,10000,20750
24/09/2013,0,18020
25/09/2013,10000,24923
26/09/2013,3000,24840
27/09/2013,5000,26119
28/09/2013,0,22284
29/09/2013,0,20022
30/09/2013,0,16897
01/10/2013,10000,24034
02/10/2013,0,20632
03/10/2013,0,17594
04/10/2013,5000,19322
05/10/2013,7000,22141
06/10/2013,0,19709
07/10/2013,5000,21246
08/10/2013,0,18339
09/10/2013,8000,23533
10/10/2013,5000,24970
11/10/2013,0,21635
12/10/2013,0,18167
13/10/2013,0,15953
14/10/2013,5000,17274
15/10/2013,5000,19159
16/10/2013,0,16398
17/10/2013,5000,18468
18/10/2013,5000,19824
19/10/2013,5000,21325
20/10/2013,0,19042
21/10/2013,5000,20453
22/10/2013,0,17613
23/10/2013,0,14497
24/10/2013,10000,21398
25/10/2013,5000,23181
26/10/2013,0,19386
27/10/2013,0,16941
28/10/2013,5000,19200
29/10/2013,5000,21120
30/10/2013,5000,23279
31/10/2013,5000,25228
01/11/2013,0,21287
02/11/2013,5000,22924
03/11/2013,0,20514
04/11/2013,0,17465
05/11/2013,6000,20404
06/11/2013,5000,22298
07/11/2013,5000,23743
08/11/2013,4000,24113
09/11/2013,0,20293
10/11/2013,0,18026
11/11/2013,5000,19554
12/11/2013,0,16715
13/11/2013,10000,23641
14/11/2013,4000,23451
15/11/2013,0,19498
16/11/2013,5000,20979
17/11/2013,0,18926
18/11/2013,5000,20606
19/11/2013,0,17751
20/11/2013,0,14182
21/11/2013,10000,21321
22/11/2013,5000,22537
23/11/2013,0,18740
24/11/2013,0,16118
25/11/2013,5000,18092
26/11/2013,5000,21468
27/11/2013,4000,22144
28/11/2013,5000,23671
29/11/2013,5000,24762
30/11/2013,5000,25802
01/12/2013,0,23666
02/12/2013,0,20392
03/12/2013,0,17650
04/12/2013,10000,24130
05/12/2013,0,20902
06/12/2013,0,16978
07/12/2013,5000,17696
08/12/2013,0,15228
09/12/2013,7000,18183
10/12/2013,5000,19836
11/12/2013,0,16862
12/12/2013,10000,23376
13/12/2013,5000,24393
14/12/2013,0,19985
15/12/2013,0,17365
16/12/2013,0,13416
17/12/2013,5000,14911
18/12/2013,15000,26136
19/12/2013,0,22626
20/12/2013,5000,23183
21/12/2013,5000,23509
22/12/2013,0,20535
23/12/2013,0,15972
24/12/2013,5000,16084
25/12/2013,0,14314
26/12/2013,5000,16151
27/12/2013,5000,17662
28/12/2013,5000,19059
29/12/2013,0,17004
30/12/2013,10000,23119
31/12/2013,0,18956
01/01/2014,0,17623
02/01/2014,0,15193
03/01/2014,0,11927
04/01/2014,10000,18968
05/01/2014,0,16734
06/01/2014,5000,18923
07/01/2014,5000,20792
08/01/2014,5000,22520
09/01/2014,0,19438
10/01/2014,5000,20592
11/01/2014,5000,21381
12/01/2014,0,19223
13/01/2014,5000,21350
14/01/2014,4000,22370
15/01/2014,5000,24438
16/01/2014,0,21207
17/01/2014,5000,22311
18/01/2014,3000,21008
19/01/2014,0,18519
20/01/2014,5000,20135
21/01/2014,0,16927
22/01/2014,8000,21920
23/01/2014,5000,23769
24/01/2014,3000,23123
25/01/2014,0,18752
26/01/2014,0,16402
27/01/2014,5000,17910
28/01/2014,5000,19672
29/01/2014,5000,21697
30/01/2014,5000,23531
31/01/2014,5000,24890
01/02/2014,5000,25428
02/02/2014,0,22755
03/02/2014,5000,24159
04/02/2014,5000,25845
05/02/2014,0,22821
06/02/2014,0,19056
07/02/2014,0,14853
08/02/2014,8000,18481
09/02/2014,0,15878
10/02/2014,5000,17132
11/02/2014,5000,18222
12/02/2014,5000,19756
13/02/2014,0,16796
14/02/2014,8000,20550
15/02/2014,8000,24483
16/02/2014,0,22261
17/02/2014,5000,23191
18/02/2014,0,19828
19/02/2014,5000,21541
20/02/2014,4000,22250
21/02/2014,5000,23472
22/02/2014,5000,24495
23/02/2014,0,21364
24/02/2014,5000,22563
25/02/2014,5000,24020
26/02/2014,5000,25518
27/02/2014,0,22461
28/02/2014,0,17667
01/03/2014,5000,17991
02/03/2014,0,15098
03/03/2014,10000,21456
04/03/2014,0,19349
05/03/2014,4000,20200
06/03/2014,5000,21594
07/03/2014,0,18041
08/03/2014,5000,18435
09/03/2014,0,15396
10/03/2014,5000,16118
11/03/2014,4000,16534
12/03/2014,10000,23338
13/03/2014,6000,25606
14/03/2014,3000,24357
15/03/2014,0,19628
16/03/2014,0,16696
17/03/2014,5000,18433
18/03/2014,5000,19897
19/03/2014,0,16881
20/03/2014,10000,23047
21/03/2014,0,18739
22/03/2014,5000,18905
23/03/2014,0,15727
24/03/2014,5000,16975
25/03/2014,4000,17698
26/03/2014,10000,24218
27/03/2014,0,20581
28/03/2014,4000,20208
29/03/2014,5000,20762
30/03/2014,0,18294
31/03/2014,5000,20027
01/04/2014,5000,20925
02/04/2014,5000,22888
03/04/2014,5000,23889
04/04/2014,0,19393
05/04/2014,5000,19882
06/04/2014,0,16872
07/04/2014,4000,17400
08/04/2014,5000,18580
09/04/2014,5000,20028
10/04/2014,5000,21619
11/04/2014,8000,25080
12/04/2014,0,20977
13/04/2014,0,18148
14/04/2014,4000,18531
15/04/2014,5000,19737
16/04/2014,5000,20797
17/04/2014,9000,24667
18/04/2014,0,21172
19/04/2014,5000,22396
20/04/2014,0,20013
21/04/2014,5000,21766
22/04/2014,0,18552
23/04/2014,5000,19684
24/04/2014,5000,20904
25/04/2014,5000,21776
26/04/2014,3000,20753
27/04/2014,0,18123
28/04/2014,5000,19571
29/04/2014,5000,21356
30/04/2014,5000,22299
01/05/2014,0,18677
02/05/2014,3000,17787
03/05/2014,5000,19124
04/05/2014,0,16334
05/05/2014,10000,22582
06/05/2014,0,18944
07/05/2014,8000,23418
08/05/2014,5000,24599
09/05/2014,0,20777
10/05/2014,5000,21496
11/05/2014,0,18400
12/05/2014,5000,19331
13/05/2014,5000,20552
14/05/2014,10000,26649
15/05/2014,0,23163
16/05/2014,5000,24115
17/05/2014,5000,25013
18/05/2014,0,22304
19/05/2014,5000,23958
20/05/2014,3000,22699
21/05/2014,5000,23727
22/05/2014,5000,25197
23/05/2014,3000,24368
24/05/2014,5000,25291
25/05/2014,0,22545
26/05/2014,0,19182
27/05/2014,8000,23898
28/05/2014,5000,25245
29/05/2014,0,21847
30/05/2014,5000,22180
31/05/2014,5000,22561
01/06/2014,0,19792
02/06/2014,0,15876
03/06/2014,9000,21222
04/06/2014,0,17338
05/06/2014,7000,20177
06/06/2014,0,15652
07/06/2014,10000,21226
08/06/2014,0,18127
09/06/2014,0,14247
10/06/2014,5000,15305
11/06/2014,5000,16401
12/06/2014,0,12458
13/06/2014,15000,23440
14/06/2014,5000,23933
15/06/2014,0,21241
16/06/2014,5000,22640
17/06/2014,0,19386
18/06/2014,5000,20403
19/06/2014,0,17287
20/06/2014,10000,22798
21/06/2014,5000,23710
22/06/2014,0,20760
23/06/2014,0,17415
24/06/2014,4000,18094
25/06/2014,10000,24252
26/06/2014,0,20887
27/06/2014,7000,23713
28/06/2014,0,19993
29/06/2014,0,17475
30/06/2014,5000,18248
01/07/2014,0,14560
02/07/2014,10000,20607
03/07/2014,5000,22344
04/07/2014,5000,23607
05/07/2014,5000,24474
06/07/2014,0,21676
07/07/2014,5000,23220
08/07/2014,5000,24835
09/07/2014,0,22211
10/07/2014,5000,23559
11/07/2014,5000,24530
12/07/2014,0,20595
13/07/2014,0,18056
14/07/2014,5000,19800
15/07/2014,5000,21354
16/07/2014,0,17718
17/07/2014,5000,19399
18/07/2014,10000,25264
19/07/2014,0,20680
20/07/2014,0,18176
21/07/2014,5000,19529
22/07/2014,5000,20854
23/07/2014,0,17509
24/07/2014,9000,23603
25/07/2014,0,19499
26/07/2014,5000,21167
27/07/2014,0,18799
28/07/2014,5000,20137
29/07/2014,5000,21510
30/07/2014,5000,23118
31/07/2014,0,19652
01/08/2014,5000,20580
02/08/2014,5000,21237
03/08/2014,0,18134
04/08/2014,5000,19379
05/08/2014,5000,19895
06/08/2014,0,16061
07/08/2014,5000,17407
08/08/2014,5000,18411
09/08/2014,10000,24216
10/08/2014,0,20708
11/08/2014,5000,21693
12/08/2014,5000,23286
13/08/2014,0,20162
14/08/2014,0,16492
15/08/2014,5000,17504
16/08/2014,10000,23797
17/08/2014,0,20995
18/08/2014,0,17418
19/08/2014,10000,23950
20/08/2014,0,19870
21/08/2014,0,16103
22/08/2014,10000,22046
23/08/2014,5000,22928
24/08/2014,0,20326
25/08/2014,5000,21758
26/08/2014,5000,23288
27/08/2014,0,19779
28/08/2014,5000,21140
29/08/2014,0,16885
30/08/2014,5000,17643
31/08/2014,0,14545
01/09/2014,10000,20292
02/09/2014,5000,21406
03/09/2014,7000,24630
04/09/2014,0,21286
05/09/2014,5000,21769
06/09/2014,5000,22158
07/09/2014,0,18992
08/09/2014,7000,22772
09/09/2014,5000,24106
10/09/2014,0,21068
11/09/2014,5000,22556
12/09/2014,0,18830
13/09/2014,5000,19565
14/09/2014,0,17137
15/09/2014,5000,18512
16/09/2014,5000,20019
17/09/2014,0,16445
18/09/2014,10000,22660
19/09/2014,0,18570
20/09/2014,0,14553
21/09/2014,0,11920
22/09/2014,5000,13815
23/09/2014,10000,19673
24/09/2014,5000,21485
25/09/2014,0,18435
26/09/2014,5000,19158
27/09/2014,0,14716
28/09/2014,0,12157
29/09/2014,10000,18570
30/09/2014,0,15257
01/10/2014,5000,16336
02/10/2014,10000,22553
03/10/2014,3000,21511
04/10/2014,5000,21942
05/10/2014,0,19093
06/10/2014,5000,20410
07/10/2014,0,17061
08/10/2014,10000,23425
09/10/2014,0,19947
10/10/2014,7000,22737
11/10/2014,5000,23690
12/10/2014,0,20994
13/10/2014,5000,22852
14/10/2014,5000,24611
15/10/2014,0,21598
16/10/2014,0,18393
17/10/2014,4000,18688
18/10/2014,5000,19817
19/10/2014,0,17235
20/10/2014,10000,23274
21/10/2014,0,19588
22/10/2014,10000,25458
23/10/2014,0,22476
24/10/2014,0,19138
25/10/2014,5000,20059
26/10/2014,0,16623
27/10/2014,10000,22962
28/10/2014,0,19919
29/10/2014,10000,26293
30/10/2014,0,22939
31/10/2014,0,18845
01/11/2014,0,14100
02/11/2014,0,11155
03/11/2014,10000,17965
04/11/2014,5000,19088
05/11/2014,10000,25282
06/11/2014,0,21510
07/11/2014,0,17622
08/11/2014,10000,24339
09/11/2014,0,22051
10/11/2014,5000,23751
11/11/2014,0,20712
12/11/2014,5000,22480
13/11/2014,0,19858
14/11/2014,10000,26141
15/11/2014,0,22995
16/11/2014,0,20592
17/11/2014,0,17389
18/11/2014,10000,24276
19/11/2014,5000,26078
20/11/2014,0,22966
21/11/2014,0,19565
22/11/2014,10000,26156
23/11/2014,0,23847
24/11/2014,5000,25237
25/11/2014,0,21678
26/11/2014,5000,23406
27/11/2014,5000,25745
28/11/2014,0,21902
29/11/2014,5000,23423
30/11/2014,0,21474
01/12/2014,5000,23069
02/12/2014,0,20168
03/12/2014,10000,26829
04/12/2014,0,24024
05/12/2014,0,20413
06/12/2014,5000,21402
07/12/2014,0,18437
08/12/2014,10000,25651
09/12/2014,0,22373
10/12/2014,5000,24375
11/12/2014,5000,26107
12/12/2014,0,22876
13/12/2014,5000,24500
14/12/2014,0,21764
15/12/2014,0,18573
16/12/2014,5000,20204
17/12/2014,10000,26976
18/12/2014,0,23895
19/12/2014,5000,25400
20/12/2014,3000,24265
21/12/2014,0,21801
22/12/2014,0,19017
23/12/2014,10000,25446
24/12/2014,0,21549
25/12/2014,0,19315
26/12/2014,5000,22220
27/12/2014,7000,26603
28/12/2014,0,24475
29/12/2014,0,21792
30/12/2014,7000,25609
31/12/2014,0,22327
01/01/2015,0,20759
02/01/2015,5000,23193
03/01/2015,0,20999
04/01/2015,0,19601
05/01/2015,10000,26505
06/01/2015,0,23790
07/01/2015,0,20707
08/01/2015,5000,22382
09/01/2015,5000,24317
10/01/2015,0,21143
11/01/2015,0,19086
12/01/2015,10000,26095
13/01/2015,0,22957
14/01/2015,0,20150
15/01/2015,10000,27102
16/01/2015,0,23905
17/01/2015,5000,25361
18/01/2015,0,23158
19/01/2015,0,20086
20/01/2015,0,16758
21/01/2015,5000,19122
